price_table_id;km_from;km_to;cost_per_ton;weight_rate_10;weight_rate_20;weight_rate_30;weight_rate_50;weight_rate_70;weight_rate_100;weight_rate_150;weight_rate_200;weight_rate_above_200;cost_value_percent;gris_percent;tso_percent
REPLACE_WITH_FRACIONADO_TABLE_ID;1;50;940.91;32.93;43.28;49.4;65.86;82.33;105.38;148.19;188.18;0.9409;0.30;0.30;0.15
REPLACE_WITH_FRACIONADO_TABLE_ID;51;100;970.82;34.01;44.71;51.01;67.99;84.98;108.78;153.04;194.31;0.9708;0.30;0.30;0.15
REPLACE_WITH_FRACIONADO_TABLE_ID;101;150;1000.73;35.09;46.14;52.62;70.12;87.63;112.18;157.89;200.44;10.007;0.30;0.30;0.15
REPLACE_WITH_FRACIONADO_TABLE_ID;151;200;1030.64;36.17;47.57;54.23;72.25;90.28;115.58;162.74;206.57;10.306;0.30;0.30;0.15
REPLACE_WITH_FRACIONADO_TABLE_ID;201;250;1060.55;37.25;48.99;55.84;74.38;92.93;118.98;167.59;212.70;10.606;0.30;0.30;0.15
REPLACE_WITH_FRACIONADO_TABLE_ID;251;300;1090.46;38.33;50.42;57.45;76.51;95.58;122.38;172.44;218.83;10.905;0.40;0.30;0.17
REPLACE_WITH_FRACIONADO_TABLE_ID;301;350;1120.37;39.41;51.85;59.06;78.64;98.23;125.78;177.29;225.00;11.204;0.40;0.30;0.17
REPLACE_WITH_FRACIONADO_TABLE_ID;351;400;1150.28;40.49;53.28;60.67;80.77;100.88;129.18;182.14;231.17;11.503;0.40;0.30;0.17
REPLACE_WITH_FRACIONADO_TABLE_ID;401;450;1180.19;41.57;54.71;62.28;82.90;103.53;132.58;186.99;237.34;11.802;0.40;0.30;0.17
REPLACE_WITH_FRACIONADO_TABLE_ID;451;500;1210.10;42.65;56.14;63.89;85.03;106.18;135.98;191.84;243.51;12.101;0.40;0.30;0.17
REPLACE_WITH_FRACIONADO_TABLE_ID;501;550;1240.01;43.73;57.56;65.50;87.16;108.83;139.38;196.69;249.68;12.400;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;551;600;1269.92;44.81;58.99;67.11;89.29;111.48;142.78;201.54;255.85;12.699;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;601;650;1299.83;45.89;60.42;68.72;91.42;114.13;146.18;206.39;262.02;12.998;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;651;700;1329.74;46.97;61.85;70.33;93.55;116.78;149.58;211.24;268.19;13.297;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;701;750;1359.65;48.05;63.28;71.94;95.68;119.43;152.98;216.09;274.36;13.597;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;751;800;1389.56;49.13;64.71;73.55;97.81;122.08;156.38;220.94;280.53;13.896;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;801;850;1419.47;50.21;66.14;75.16;99.94;124.73;159.78;225.79;286.70;14.195;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;851;900;1449.38;51.29;67.56;76.77;102.07;127.38;163.18;230.64;292.87;14.494;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;901;950;1479.29;52.37;68.99;78.38;104.20;130.03;166.58;235.49;299.04;14.793;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;951;1000;1509.20;53.45;70.42;79.99;106.33;132.68;169.98;240.34;305.21;15.092;0.60;0.30;0.20
REPLACE_WITH_FRACIONADO_TABLE_ID;1001;1100;1569.02;55.61;73.28;83.21;110.59;138.00;176.78;250.04;317.55;15.690;0.70;0.30;0.22
REPLACE_WITH_FRACIONADO_TABLE_ID;1101;1200;1628.84;57.77;76.14;86.43;114.85;143.32;183.58;259.74;329.89;16.288;0.70;0.30;0.22
REPLACE_WITH_FRACIONADO_TABLE_ID;1201;1300;1688.66;59.93;78.99;89.65;119.11;148.64;190.38;269.44;342.23;16.887;0.70;0.30;0.22
REPLACE_WITH_FRACIONADO_TABLE_ID;1301;1400;1748.48;62.09;81.85;92.87;123.37;153.96;197.18;279.14;354.57;17.485;0.70;0.30;0.22
REPLACE_WITH_FRACIONADO_TABLE_ID;1401;1500;1808.30;64.25;84.71;96.09;127.63;159.28;203.98;288.84;366.91;18.083;0.70;0.30;0.22
REPLACE_WITH_FRACIONADO_TABLE_ID;1501;1600;1868.12;66.41;87.56;99.31;131.89;164.60;210.78;298.54;379.25;18.681;0.80;0.30;0.24
REPLACE_WITH_FRACIONADO_TABLE_ID;1601;1700;1927.94;68.57;90.42;102.53;136.15;169.92;217.58;308.24;391.59;19.279;0.80;0.30;0.24
REPLACE_WITH_FRACIONADO_TABLE_ID;1701;1800;1987.76;70.73;93.28;105.75;140.41;175.24;224.38;317.94;403.93;19.878;0.80;0.30;0.24
REPLACE_WITH_FRACIONADO_TABLE_ID;1801;1900;2047.58;72.89;96.14;108.97;144.67;180.56;231.18;327.64;416.27;20.476;0.80;0.30;0.24
REPLACE_WITH_FRACIONADO_TABLE_ID;1901;2000;2107.40;75.05;98.99;112.19;148.93;185.88;238.00;337.34;428.61;21.074;0.80;0.30;0.24
REPLACE_WITH_FRACIONADO_TABLE_ID;2001;2200;2227.04;79.37;104.71;118.63;157.45;196.52;251.60;356.74;453.29;22.270;0.90;0.30;0.26
REPLACE_WITH_FRACIONADO_TABLE_ID;2201;2400;2346.68;83.69;110.42;125.07;165.97;207.16;265.20;376.14;477.97;23.467;0.90;0.30;0.26
REPLACE_WITH_FRACIONADO_TABLE_ID;2401;2600;2466.32;87.99;116.14;131.51;174.49;217.80;278.80;395.54;502.65;24.663;0.90;0.30;0.26
REPLACE_WITH_FRACIONADO_TABLE_ID;2601;2800;2585.96;92.31;121.85;137.95;183.01;228.44;292.40;414.94;527.33;25.860;1.00;0.30;0.28
REPLACE_WITH_FRACIONADO_TABLE_ID;2801;3000;2705.60;96.63;127.56;144.39;191.53;239.08;306.00;434.34;552.01;27.056;1.00;0.30;0.28
REPLACE_WITH_FRACIONADO_TABLE_ID;3001;3200;2825.24;100.95;133.28;150.83;200.05;249.72;319.60;453.74;576.69;28.252;1.10;0.30;0.29
REPLACE_WITH_FRACIONADO_TABLE_ID;3201;3400;2944.88;105.27;138.99;157.27;208.57;260.36;333.20;473.14;601.37;29.449;1.10;0.30;0.29
REPLACE_WITH_FRACIONADO_TABLE_ID;3401;3600;3064.52;109.59;144.71;163.71;217.09;271.00;346.80;492.54;626.05;30.645;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;3601;3800;3184.16;113.91;150.42;170.15;225.61;281.64;360.40;511.94;650.73;31.842;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;3801;4000;3303.80;118.23;156.14;176.59;234.13;292.28;374.00;531.34;675.41;33.038;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;4001;4200;3423.44;122.55;161.85;183.03;242.65;302.92;387.60;550.74;700.09;34.234;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;4201;4400;3543.08;126.87;167.56;189.47;251.17;313.56;401.20;570.14;724.77;35.431;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;4401;4600;3662.72;131.19;173.28;195.91;259.69;324.20;414.80;589.54;749.45;36.627;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;4601;4800;3782.36;135.51;178.99;202.35;268.21;334.84;428.40;608.94;774.13;37.824;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;4801;5000;3902.00;139.83;184.71;208.79;276.73;345.48;442.00;628.34;798.81;39.020;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;5001;5200;4021.64;144.15;190.42;215.23;285.25;356.12;455.60;647.74;823.49;40.216;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;5201;5400;4141.28;148.47;196.14;221.67;293.77;366.76;469.20;667.14;848.17;41.413;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;5401;5600;4260.92;152.79;201.85;228.11;302.29;377.40;482.80;686.54;872.85;42.609;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;5601;5800;4380.56;157.11;207.56;234.55;310.81;388.04;496.40;705.94;897.53;43.806;1.20;0.30;0.30
REPLACE_WITH_FRACIONADO_TABLE_ID;5801;6000;6067.08;212.35;279.09;318.52;424.7;530.87;679.51;955.56;1213.42;60.671;1.20;0.30;0.30
