price_table_id,km_from,km_to,cost_per_ton,cost_value_percent,gris_percent,tso_percent
32625379-4b1d-4b88-8411-3083bdf75337,1,50,,,,
32625379-4b1d-4b88-8411-3083bdf75337,51,100,,,,
32625379-4b1d-4b88-8411-3083bdf75337,101,150,,,,
32625379-4b1d-4b88-8411-3083bdf75337,151,200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,201,250,,,,
32625379-4b1d-4b88-8411-3083bdf75337,251,300,,,,
32625379-4b1d-4b88-8411-3083bdf75337,301,350,,,,
32625379-4b1d-4b88-8411-3083bdf75337,351,400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,401,450,,,,
32625379-4b1d-4b88-8411-3083bdf75337,451,500,,,,
32625379-4b1d-4b88-8411-3083bdf75337,501,550,,,,
32625379-4b1d-4b88-8411-3083bdf75337,551,600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,601,650,,,,
32625379-4b1d-4b88-8411-3083bdf75337,651,700,,,,
32625379-4b1d-4b88-8411-3083bdf75337,701,750,,,,
32625379-4b1d-4b88-8411-3083bdf75337,751,800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,801,850,,,,
32625379-4b1d-4b88-8411-3083bdf75337,851,900,,,,
32625379-4b1d-4b88-8411-3083bdf75337,901,950,,,,
32625379-4b1d-4b88-8411-3083bdf75337,951,1000,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1001,1100,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1101,1200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1201,1300,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1301,1400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1401,1500,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1501,1600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1601,1700,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1701,1800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1801,1900,,,,
32625379-4b1d-4b88-8411-3083bdf75337,1901,2000,,,,
32625379-4b1d-4b88-8411-3083bdf75337,2001,2200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,2201,2400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,2401,2600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,2601,2800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,2801,3000,,,,
32625379-4b1d-4b88-8411-3083bdf75337,3001,3200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,3201,3400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,3401,3600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,3601,3800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,3801,4000,,,,
32625379-4b1d-4b88-8411-3083bdf75337,4001,4200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,4201,4400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,4401,4600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,4601,4800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,4801,5000,,,,
32625379-4b1d-4b88-8411-3083bdf75337,5001,5200,,,,
32625379-4b1d-4b88-8411-3083bdf75337,5201,5400,,,,
32625379-4b1d-4b88-8411-3083bdf75337,5401,5600,,,,
32625379-4b1d-4b88-8411-3083bdf75337,5601,5800,,,,
32625379-4b1d-4b88-8411-3083bdf75337,5801,6000,,,,
