index_type,period,distance_km,pickup_km,index_value
INCTF,1994-06-01,,,39.872
INCTF,1994-07-01,,,39.965
INCTF,1994-08-01,,,40.091
INCTF,1994-09-01,,,42.085
INCTF,1994-10-01,,,44.207
INCTF,1994-11-01,,,44.113
INCTF,1994-12-01,,,45.005
INCTF,1995-01-01,,,45.073
INCTF,1995-02-01,,,47.606
INCTF,1995-03-01,,,48.009
INCTF,1995-04-01,,,48.067
INCTF,1995-05-01,,,52.028
INCTF,1995-06-01,,,55.21
INCTF,1995-07-01,,,54.599
INCTF,1995-08-01,,,54.452
INCTF,1995-09-01,,,54.585
INCTF,1995-10-01,,,54.478
INCTF,1995-11-01,,,54.096
INCTF,1995-12-01,,,54.073
INCTF,1996-01-01,,,54.043
INCTF,1996-02-01,,,54.141
INCTF,1996-03-01,,,54.112
INCTF,1996-04-01,,,54.066
INCTF,1996-05-01,,,55.755
INCTF,1996-06-01,,,55.633
INCTF,1996-07-01,,,59.419
INCTF,1996-08-01,,,61.99
INCTF,1996-09-01,,,62.003
INCTF,1996-10-01,,,62.066
INCTF,1996-11-01,,,63.239
INCTF,1996-12-01,,,63.457
INCTF,1997-01-01,,,63.657
INCTF,1997-02-01,,,63.517
INCTF,1997-03-01,,,63.525
INCTF,1997-04-01,,,63.549
INCTF,1997-05-01,,,63.791
INCTF,1997-06-01,,,66.271
INCTF,1997-07-01,,,67.702
INCTF,1997-08-01,,,67.596
INCTF,1997-09-01,,,67.616
INCTF,1997-10-01,,,67.673
INCTF,1997-11-01,,,67.66
INCTF,1997-12-01,,,67.621
INCTF,1998-01-01,,,67.662
INCTF,1998-02-01,,,67.473
INCTF,1998-03-01,,,67.75
INCTF,1998-04-01,,,68.133
INCTF,1998-05-01,,,68.066
INCTF,1998-06-01,,,68.046
INCTF,1998-07-01,,,68.471
INCTF,1998-08-01,,,69.761
INCTF,1998-09-01,,,69.822
INCTF,1998-10-01,,,69.778
INCTF,1998-11-01,,,69.834
INCTF,1998-12-01,,,69.6
INCTF,1999-01-01,,,69.809
INCTF,1999-02-01,,,70.012
INCTF,1999-03-01,,,70.461
INCTF,1999-04-01,,,70.494
INCTF,1999-05-01,,,71.577
INCTF,1999-06-01,,,71.817
INCTF,1999-07-01,,,72.377
INCTF,1999-08-01,,,72.404
INCTF,1999-09-01,,,72.618
INCTF,1999-10-01,,,72.858
INCTF,1999-11-01,,,73.062
INCTF,1999-12-01,,,72.816
INCTF,2000-01-01,,,73.173
INCTF,2000-02-01,,,73.1
INCTF,2000-03-01,,,196.558
INCTF,2000-04-01,,,195.684
INCTF,2000-05-01,,,196.546
INCTF,2000-06-01,,,200.477
INCTF,2000-07-01,,,201.01
INCTF,2000-08-01,,,200.701
INCTF,2000-09-01,,,200.408
INCTF,2000-10-01,,,200.475
INCTF,2000-11-01,,,201.226
INCTF,2000-12-01,,,201
INCTF,2001-01-01,,,201.196
INCTF,2001-02-01,,,201.315
INCTF,2001-03-01,,,201.422
INCTF,2001-04-01,,,201.922
INCTF,2001-05-01,,,208.705
INCTF,2001-06-01,,,209.114
INCTF,2001-07-01,,,211.849
INCTF,2001-08-01,,,211.805
INCTF,2001-09-01,,,212.961
INCTF,2001-10-01,,,212.838
INCTF,2001-11-01,,,212.646
INCTF,2001-12-01,,,212.952
INCTF,2002-01-01,,,213.336
INCTF,2002-02-01,,,213.085
INCTF,2002-03-01,,,213.712
INCTF,2002-04-01,,,221.177
INCTF,2002-05-01,,,221.29
INCTF,2002-06-01,,,226.903
INCTF,2002-07-01,,,226.972
INCTF,2002-08-01,,,227.239
INCTF,2002-09-01,,,228.569
INCTF,2002-10-01,,,230.458
INCTF,2002-11-01,,,231.051
INCTF,2002-12-01,,,233.258
INCTF,2003-01-01,,,230.458
INCTF,2003-02-01,,,231.051
INCTF,2003-03-01,,,233.258
INCTF,2003-04-01,,,235.375
INCTF,2003-05-01,,,234.855
INCTF,2003-06-01,,,236.309
INCTF,2003-07-01,,,236.312
INCTF,2003-08-01,,,243.235
INCTF,2003-09-01,,,243.021
INCTF,2003-10-01,,,260.563
INCTF,2003-11-01,,,262.229
INCTF,2003-12-01,,,262.482
INCTF,2004-01-01,,,265.588
INCTF,2004-02-01,,,265.585
INCTF,2004-03-01,,,264.792
INCTF,2004-04-01,,,265.786
INCTF,2004-05-01,,,269.314
INCTF,2004-06-01,,,270.99
INCTF,2004-07-01,,,270.778
INCTF,2004-08-01,,,278.706
INCTF,2004-09-01,,,280.514
INCTF,2004-10-01,,,286.678
INCTF,2004-11-01,,,397.77
INCTF,2004-12-01,,,403.289
INCTF,2005-01-01,,,413.852
INCTF,2005-02-01,,,407.919
INCTF,2005-03-01,,,409.093
INCTF,2005-04-01,,,412.97
INCTF,2005-05-01,,,414.252
INCTF,2005-06-01,,,415.684
INCTF,2005-07-01,,,425.365
INCTF,2005-08-01,,,417.944
INCTF,2005-09-01,,,434.025
INCTF,2005-10-01,,,433.386
INCTF,2005-11-01,,,438.615
INCTF,2005-12-01,,,439.291
INCTF,2006-01-01,,,469.245
INCTF,2006-02-01,,,528.19
INCTF,2006-03-01,,,496.419
INCTF,2006-04-01,,,502.963
INCTF,2006-05-01,,,503.102
INCTF,2006-06-01,,,503.774
INCTF,2006-07-01,,,506.998
INCTF,2006-08-01,,,505.113
INCTF,2006-09-01,,,502.729
INCTF,2006-10-01,,,512.465
INCTF,2006-11-01,,,512.43
INCTF,2006-12-01,,,515.083
INCTF,2007-01-01,,,515.465
INCTF,2007-02-01,,,516.085
INCTF,2007-03-01,,,515.747
INCTF,2007-04-01,,,517.154
INCTF,2007-05-01,,,518.082
INCTF,2007-06-01,,,518.554
INCTF,2007-07-01,,,520.99
INCTF,2007-08-01,,,520.639
INCTF,2007-09-01,,,520.074
INCTF,2007-10-01,,,530.064
INCTF,2007-11-01,,,171.4716
INCTF,2007-12-01,,,171.5114
INCTF,2008-01-01,,,171.682
INCTF,2008-02-01,,,171.8667
INCTF,2008-03-01,,,171.9081
INCTF,2008-04-01,,,171.9547
INCTF,2008-05-01,,,178.6171
INCTF,2008-06-01,,,179.9698
INCTF,2008-07-01,,,183.3847
INCTF,2008-08-01,,,183.9333
INCTF,2008-09-01,,,183.9881
INCTF,2008-10-01,,,184.329
INCTF,2008-11-01,,,184.8299
INCTF,2008-12-01,,,184.7514
INCTF,2009-01-01,,,184.2967
INCTF,2009-02-01,,,184.1689
INCTF,2009-03-01,,,184.0585
INCTF,2009-04-01,,,183.5701
INCTF,2009-05-01,,,189.5509
INCTF,2009-06-01,,,189.4616
INCTF,2009-07-01,,,191.3112
INCTF,2009-08-01,,,190.9642
INCTF,2009-09-01,,,191.0582
INCTF,2009-10-01,,,191.2638
INCTF,2009-11-01,,,191.2849
INCTF,2009-12-01,,,191.3573
INCTF,2010-01-01,,,191.2542
INCTF,2010-02-01,,,191.5381
INCTF,2010-03-01,,,191.807
INCTF,2010-04-01,,,193.5537
INCTF,2010-05-01,,,199.8792
INCTF,2010-06-01,,,200.9065
INCTF,2010-07-01,,,203.5
INCTF,2010-08-01,,,203.6183
INCTF,2010-09-01,,,204.2557
INCTF,2010-10-01,,,204.7931
INCTF,2010-11-01,,,204.742
INCTF,2010-12-01,,,205.5516
INCTF,2011-01-01,,,205.7588
INCTF,2011-02-01,,,205.8608
INCTF,2011-03-01,,,206.3692
INCTF,2011-04-01,,,206.6296
INCTF,2011-05-01,,,215.5461
INCTF,2011-06-01,,,214.9225
INCTF,2011-07-01,,,214.849
INCTF,2011-08-01,,,214.5883
INCTF,2011-09-01,,,217.4083
INCTF,2011-10-01,,,217.4364
INCTF,2011-11-01,,,217.6317
INCTF,2011-12-01,,,217.7704
INCTF,2012-01-01,,,218.292
INCTF,2012-02-01,,,218.3306
INCTF,2012-03-01,,,220.1932
INCTF,2012-04-01,,,220.3693
INCTF,2012-05-01,,,229.5677
INCTF,2012-06-01,,,229.9435
INCTF,2012-07-01,,,233.1616
INCTF,2012-08-01,,,234.0418
INCTF,2012-09-01,,,234.8363
INCTF,2012-10-01,,,235.3398
INCTF,2012-11-01,,,235.5003
INCTF,2012-12-01,,,235.5754
INCTF,2013-01-01,,,235.9741
INCTF,2013-02-01,,,236.2014
INCTF,2013-03-01,,,236.3117
INCTF,2013-04-01,,,236.4529
INCTF,2013-05-01,,,247.037
INCTF,2013-06-01,,,247.0472
INCTF,2013-07-01,,,250.2969
INCTF,2013-08-01,,,250.4407
INCTF,2013-09-01,,,251.918
INCTF,2013-10-01,,,252.7776
INCTF,2013-11-01,,,253.1193
INCTF,2013-12-01,,,253.3318
INCTF,2014-01-01,,,253.6265
INCTF,2014-02-01,,,245.8896
INCTF,2014-03-01,,,246.3719
INCTF,2014-04-01,,,246.9893
INCTF,2014-05-01,,,255.8614
INCTF,2014-06-01,,,255.407
INCTF,2014-07-01,,,254.6943
INCTF,2014-08-01,,,257.0211
INCTF,2014-09-01,,,257.2265
INCTF,2014-10-01,,,258.0293
INCTF,2014-11-01,,,258.9312
INCTF,2014-12-01,,,260.25
INCTF,2015-01-01,,,260.4765
INCTF,2015-02-01,,,261.5939
INCTF,2015-03-01,,,262.6992
INCTF,2015-06-01,,,276.1696
INCTF,2015-07-01,,,280.0403
INCTF,2015-08-01,,,280.1833
INCTF,2015-09-01,,,280.3005
INCTF,2015-10-01,,,281.4345
INCTF,2015-11-01,,,281.9849
INCTF,2015-12-01,,,284.2411
INCTF,2016-01-01,,,284.8333
INCTF,2016-02-01,,,285.7367
INCTF,2016-03-01,,,286.4125
INCTF,2016-04-01,,,286.777
INCTF,2016-05-01,,,296.926
INCTF,2016-06-01,,,300.8014
INCTF,2016-07-01,,,306.2883
INCTF,2016-08-01,,,306.3744
INCTF,2016-09-01,,,306.7151
INCTF,2016-10-01,,,306.7861
INCTF,2016-11-01,,,306.9275
INCTF,2016-12-01,,,307.1748
INCTF,2017-01-01,,,308.0899
INCTF,2017-02-01,,,308.4909
INCTF,2017-03-01,,,308.3142
INCTF,2017-04-01,,,307.8315
INCTF,2017-05-01,,,312.9612
INCTF,2017-06-01,,,312.6798
INCTF,2017-07-01,,,315.0977
INCTF,2017-08-01,,,315.0222
INCTF,2017-09-01,,,315.4608
INCTF,2017-10-01,,,316.1076
INCTF,2017-11-01,,,316.4843
INCTF,2017-12-01,,,317.3403
INCTF,2018-01-01,,,318.6355
INCTF,2018-02-01,,,319.1656
INCTF,2018-03-01,,,319.0953
INCTF,2018-04-01,,,319.4622
INCTF,2018-05-01,,,320.6381
INCTF,2018-06-01,,,326.8543
INCTF,2018-07-01,,,328.1303
INCTF,2018-08-01,,,328.5887
INCTF,2018-09-01,,,329.8981
INCTF,2018-10-01,,,331.9541
INCTF,2018-11-01,,,332.2672
INCTF,2018-12-01,,,331.2368
INCTF,2019-01-01,,,331.1999
INCTF,2019-02-01,,,331.9541
INCTF,2019-03-01,,,334.0464
INCTF,2019-04-01,,,335.164
INCTF,2019-05-01,,,344.3056
INCTF,2019-06-01,,,344.9106
INCTF,2019-07-01,,,346.2038
INCTF,2019-08-01,,,347.1591
INCTF,2019-09-01,,,347.3764
INCTF,2019-10-01,,,348.4982
INCTF,2019-11-01,,,349.6734
INCTF,2019-12-01,,,351.1106
INCTF,2020-01-01,,,353.3285
INCTF,2020-02-01,,,353.2141
INCTF,2020-03-01,,,352.8284
INCTF,2020-04-01,,,354.4229
INCTF,2020-05-01,,,355.0891
INCTF,2020-06-01,,,356.6295
INCTF,2020-07-01,,,359.1881
INCTF,2020-08-01,,,361.5011
INCTF,2020-09-01,,,366.814
INCTF,2020-10-01,,,374.1981
INCTF,2020-11-01,,,379.362
INCTF,2020-12-01,,,382.3896
INCTF,2021-01-01,,,383.892
INCTF,2021-02-01,,,389.3669
INCTF,2021-03-01,,,395.206
INCTF,2021-04-01,,,399.3612
