index_type,period,distance_km,pickup_km,index_value
INCTL,2003-10-01,50,,29.56
INCTL,2003-10-01,400,,55.871
INCTL,2003-10-01,800,,87.2262
INCTL,2003-10-01,2400,,205.147
INCTL,2003-10-01,6000,,464.843
INCTL,2003-11-01,50,,29.802
INCTL,2003-11-01,400,,56.414
INCTL,2003-11-01,800,,88.119
INCTL,2003-11-01,2400,,207.404
INCTL,2003-11-01,6000,,470.142
INCTL,2003-12-01,50,,29.887
INCTL,2003-12-01,400,,56.592
INCTL,2003-12-01,800,,88.41
INCTL,2003-12-01,2400,,208.112
INCTL,2003-12-01,6000,,471.761
INCTL,2004-01-01,50,,29.838
INCTL,2004-01-01,400,,56.361
INCTL,2004-01-01,800,,87.981
INCTL,2004-01-01,2400,,206.831
INCTL,2004-01-01,6000,,468.523
INCTL,2004-02-01,50,,30.445
INCTL,2004-02-01,400,,57.251
INCTL,2004-02-01,800,,89.193
INCTL,2004-02-01,2400,,208.948
INCTL,2004-02-01,6000,,472.306
INCTL,2004-03-01,50,,30.782
INCTL,2004-03-01,400,,57.879
INCTL,2004-03-01,800,,90.171
INCTL,2004-03-01,2400,,211.217
INCTL,2004-03-01,6000,,477.393
INCTL,2004-04-01,50,,30.859
INCTL,2004-04-01,400,,57.975
INCTL,2004-04-01,800,,90.305
INCTL,2004-04-01,2400,,211.41
INCTL,2004-04-01,6000,,477.658
INCTL,2004-05-01,50,,31.49
INCTL,2004-05-01,400,,58.994
INCTL,2004-05-01,800,,91.791
INCTL,2004-05-01,2400,,214.637
INCTL,2004-05-01,6000,,484.705
INCTL,2004-06-01,50,,31.993
INCTL,2004-06-01,400,,60.611
INCTL,2004-06-01,800,,94.698
INCTL,2004-06-01,2400,,222.551
INCTL,2004-06-01,6000,,503.765
INCTL,2004-07-01,50,,32.32
INCTL,2004-07-01,400,,60.946
INCTL,2004-07-01,800,,95.066
INCTL,2004-07-01,2400,,222.926
INCTL,2004-07-01,6000,,504.058
INCTL,2004-08-01,50,,32.699
INCTL,2004-08-01,400,,61.533
INCTL,2004-08-01,800,,95.911
INCTL,2004-08-01,2400,,224.688
INCTL,2004-08-01,6000,,507.798
INCTL,2004-09-01,50,,33.347
INCTL,2004-09-01,400,,62.442
INCTL,2004-09-01,800,,97.142
INCTL,2004-09-01,2400,,227.075
INCTL,2004-09-01,6000,,512.689
INCTL,2004-10-01,50,,33.663
INCTL,2004-10-01,400,,63.648
INCTL,2004-10-01,800,,99.37
INCTL,2004-10-01,2400,,233.322
INCTL,2004-10-01,6000,,527.921
INCTL,2004-11-01,50,,33.801
INCTL,2004-11-01,400,,63.9136
INCTL,2004-11-01,800,,99.791
INCTL,2004-11-01,2400,,234.309
INCTL,2004-11-01,6000,,530.141
INCTL,2004-12-01,50,,34.002
INCTL,2004-12-01,400,,64.705
INCTL,2004-12-01,800,,101.268
INCTL,2004-12-01,2400,,238.433
INCTL,2004-12-01,6000,,540.144
INCTL,2005-01-01,50,,34.142
INCTL,2005-01-01,400,,65.034
INCTL,2005-01-01,800,,101.82
INCTL,2005-01-01,2400,,239.834
INCTL,2005-01-01,6000,,543.423
INCTL,2005-02-01,50,,34.312
INCTL,2005-02-01,400,,65.457
INCTL,2005-02-01,800,,102.533
INCTL,2005-02-01,2400,,241.695
INCTL,2005-02-01,6000,,547.855
INCTL,2005-03-01,50,,34.64
INCTL,2005-03-01,400,,65.932
INCTL,2005-03-01,800,,103.182
INCTL,2005-03-01,2400,,243.008
INCTL,2005-03-01,6000,,550.637
INCTL,2005-04-01,50,,34.499
INCTL,2005-04-01,400,,65.773
INCTL,2005-04-01,800,,103.019
INCTL,2005-04-01,2400,,242.725
INCTL,2005-04-01,6000,,550.007
INCTL,2005-05-01,50,,35.01
INCTL,2005-05-01,400,,66.57
INCTL,2005-05-01,800,,104.15
INCTL,2005-05-01,2400,,245.16
INCTL,2005-05-01,6000,,555.352
INCTL,2005-06-01,50,,34.977
INCTL,2005-06-01,400,,66.655
INCTL,2005-06-01,800,,104.354
INCTL,2005-06-01,2400,,245.928
INCTL,2005-06-01,6000,,557.452
INCTL,2005-07-01,50,,35.401
INCTL,2005-07-01,400,,67.113
INCTL,2005-07-01,800,,104.844
INCTL,2005-07-01,2400,,246.612
INCTL,2005-07-01,6000,,558.63
INCTL,2005-08-01,50,,34.816
INCTL,2005-08-01,400,,65.789
INCTL,2005-08-01,800,,102.666
INCTL,2005-08-01,2400,,241.091
INCTL,2005-08-01,6000,,545.641
INCTL,2005-09-01,50,,35.135
INCTL,2005-09-01,400,,66.794
INCTL,2005-09-01,800,,104.452
INCTL,2005-09-01,2400,,246.476
INCTL,2005-09-01,6000,,559.563
INCTL,2005-10-01,50,,34.352
INCTL,2005-10-01,400,,65.891
INCTL,2005-10-01,800,,103.408
INCTL,2005-10-01,2400,,244.888
INCTL,2005-10-01,6000,,556.778
INCTL,2005-11-01,50,,34.768
INCTL,2005-11-01,400,,66.576
INCTL,2005-11-01,800,,104.412
INCTL,2005-11-01,2400,,247.1
INCTL,2005-11-01,6000,,561.656
INCTL,2005-12-01,50,,34.765
INCTL,2005-12-01,400,,66.555
INCTL,2005-12-01,800,,104.374
INCTL,2005-12-01,2400,,246.973
INCTL,2005-12-01,6000,,561.315
INCTL,2006-01-01,50,,34.707
INCTL,2006-01-01,400,,66.358
INCTL,2006-01-01,800,,104.017
INCTL,2006-01-01,2400,,245.987
INCTL,2006-01-01,6000,,558.923
INCTL,2006-02-01,50,,34.778
INCTL,2006-02-01,400,,66.457
INCTL,2006-02-01,800,,104.159
INCTL,2006-02-01,2400,,246.234
INCTL,2006-02-01,6000,,559.351
INCTL,2006-03-01,50,,34.649
INCTL,2006-03-01,400,,66.132
INCTL,2006-03-01,800,,103.608
INCTL,2006-03-01,2400,,244.79
INCTL,2006-03-01,6000,,555.908
INCTL,2006-04-01,50,,34.17
INCTL,2006-04-01,400,,65.17
INCTL,2006-04-01,800,,102.081
INCTL,2006-04-01,2400,,241.077
INCTL,2006-04-01,6000,,547.328
INCTL,2006-05-01,50,,34.326
INCTL,2006-05-01,400,,65.361
INCTL,2006-05-01,800,,102.31
INCTL,2006-05-01,2400,,241.467
INCTL,2006-05-01,6000,,548.093
INCTL,2006-06-01,50,,34.278
INCTL,2006-06-01,400,,64.991
INCTL,2006-06-01,800,,101.579
INCTL,2006-06-01,2400,,239.253
INCTL,2006-06-01,6000,,542.511
INCTL,2006-07-01,50,,34.375
INCTL,2006-07-01,400,,65.145
INCTL,2006-07-01,800,,101.814
INCTL,2006-07-01,2400,,239.719
INCTL,2006-07-01,6000,,543.429
INCTL,2006-08-01,50,,34.354
INCTL,2006-08-01,400,,65.017
INCTL,2006-08-01,800,,101.566
INCTL,2006-08-01,2400,,238.977
INCTL,2006-08-01,6000,,541.562
INCTL,2006-09-01,50,,34.628
INCTL,2006-09-01,400,,65.691
INCTL,2006-09-01,800,,102.706
INCTL,2006-09-01,2400,,241.929
INCTL,2006-09-01,6000,,548.56
INCTL,2006-10-01,50,,34.527
INCTL,2006-10-01,400,,65.447
INCTL,2006-10-01,800,,102.303
INCTL,2006-10-01,2400,,240.87
INCTL,2006-10-01,6000,,546.004
INCTL,2006-11-01,50,,34.631
INCTL,2006-11-01,400,,65.433
INCTL,2006-11-01,800,,102.172
INCTL,2006-11-01,2400,,240.168
INCTL,2006-11-01,6000,,543.94
INCTL,2006-12-01,50,,34.667
INCTL,2006-12-01,400,,65.413
INCTL,2006-12-01,800,,102.098
INCTL,2006-12-01,2400,,239.812
INCTL,2006-12-01,6000,,542.901
INCTL,2007-01-01,50,,34.691
INCTL,2007-01-01,400,,65.608
INCTL,2007-01-01,800,,102.49
INCTL,2007-01-01,2400,,240.983
INCTL,2007-01-01,6000,,545.814
INCTL,2007-02-01,50,,34.697
INCTL,2007-02-01,400,,65.515
INCTL,2007-02-01,800,,102.289
INCTL,2007-02-01,2400,,240.321
INCTL,2007-02-01,6000,,544.093
INCTL,2007-03-01,50,,34.949
INCTL,2007-03-01,400,,66.088
INCTL,2007-03-01,800,,103.233
INCTL,2007-03-01,2400,,242.73
INCTL,2007-03-01,6000,,549.786
INCTL,2007-04-01,50,,35.052
INCTL,2007-04-01,400,,66.398
INCTL,2007-04-01,800,,103.781
INCTL,2007-04-01,2400,,244.218
INCTL,2007-04-01,6000,,553.384
INCTL,2007-05-01,50,,35.3789
INCTL,2007-05-01,400,,66.9604
INCTL,2007-05-01,800,,104.6125
INCTL,2007-05-01,2400,,246.1266
INCTL,2007-05-01,6000,,557.7128
INCTL,2007-06-01,50,,35.825
INCTL,2007-06-01,400,,67.8512
INCTL,2007-06-01,800,,106.011
INCTL,2007-06-01,2400,,249.5594
INCTL,2007-06-01,6000,,565.7254
INCTL,2007-07-01,50,,35.9098
INCTL,2007-07-01,400,,67.7169
INCTL,2007-07-01,800,,105.6263
INCTL,2007-07-01,2400,,248.1731
INCTL,2007-07-01,6000,,562.0854
INCTL,2007-08-01,50,,36.1079
INCTL,2007-08-01,400,,68.1561
INCTL,2007-08-01,800,,106.341
INCTL,2007-08-01,2400,,249.9902
INCTL,2007-08-01,6000,,566.3827
INCTL,2007-09-01,50,,36.1613
INCTL,2007-09-01,400,,68.2419
