plate,brand,model,year,color,renavam,active
MKA9C94,GUERRA,AG FG,2012,CINZA,00475008260,true
AHY8E10,MERCEDES BENZ,L 1620,1998,BRANCO,00702703699,true
AIB9207,MERCEDES BENZ,L 1313 2P,1973,VERMELHO,00360544061,true
AIU9F37,MERCEDES BENZ,L 2216,1985,VERMELHA,00530972093,true
AME2769,VOLKSWAGEN,23 220,2004,AZUL,00839277865,true
AMS9J59,MERCEDES BENZ,L 1620,2005,BRANCA,96953015,true
AOD0E22,MERCEDES BENZ,915C,2006,BRANCO,00897715276,true
AQR7I05,GUERRA,AG FG,2008,PRATA,00989742555,true
ARG3E33,RODOFORTSA,SRFG 1E,2009,PRATA,00137947062,true
ARG3E64,RODOFORTSA,SRFG 1E,2009,PRATA,00139759387,true
ARM3E32,VOLVO,VM 260 6X2R,2009,PRATA,00152408223,true
AUU6F48,FIAT,DUCATO MAXICARGO,2011,BRANCA,00406307792,true
AVA2D49,VOLKSWAGEN,19 320 MASTER,2011,BRANCA,00452086230,true
AVP3235,VOLKSWAGEN,24.250 CLC 6X2,2011,AMARELO,00355448319,true
AWD9A29,NOMA,SR3E27 BL,2012,CINZA,00494755881,true
AWJ4C42,VOLVO,VM 270 6X2R,2013,BRANCA,00554867060,true
AWW3D11,VOLVO,VM 260 6X2R,2011,BRANCA,00333277830,true
AWX3B14,SCANIA,P 250 B8X2,2013,PRATA,00537424520,true
AYB6G36,FORD,CARGO 816 S,2013,BRANCO,00995766207,true
AYP2F18,VOLKSWAGEN,19.390 CTC 4X2,2013,BRANCA,01105187257,true
BCN6D55,DAF,XF105 FTS 460A,2018,VERMELHA,01169194939,true
BES5C98,VOLVO,FH 460 6X2T,2020,AZUL,01248565107,true
BLL5H73,SCANIA,R450 A6X2,2021,VERMELHA,01316137691,true
BMS5B26,SCANIA,T112 H 4X2,1982,BRANCA,00392559331,true
BWH3I06,MERCEDES BENZ,L 1418,1991,AMARELO,00405999062,true
BWP6J75,MERCEDES BENZ,L 1513 3 EIXOS 2P,1978,AMARELO,00383482054,true
BYG4H96,VOLKSWAGEN,12 140 H,1995,BRANCA,00645802042,true
BZK4E33,RENAULT,MASTER FUL L2H2,2018,BRANCA,01173214507,true
CPI5F14,VOLKSWAGEN,8 150 E DELIVERY PLUS 2P,2011,BRANCO,00337085480,true
CRY9F87,VOLVO,,1999,BRANCA,00731583680,true
CUB0C06,MERCEDES BENZ,AXOR 2540 S,2008,BRANCO,00131521276,true
CUC8780,VOLKSWAGEN,VW/24.280 CRM 6X2,2010,BRANCA,00208058729,true
CVN5252,MERCEDES BENZ,ATEGO 1718,2008,BRANCO,00986019836,true
CXA5635,VOLKSWAGEN,17.210 MOTOR CUMMINS,2000,BRANCA,00740030426,true
CYB3B66,VOLKSWAGEN,,2001,BRANCA,00766595501,true
DBB9C10,FACCHINI,FACCHINI SRF LO,2004,BRANCA,00823504832,true
DKE5C17,VOLKSWAGEN,,2004,PRATA,00836760328,true
